atom,weights
C,0.0069550592
C,-0.023677813
C,-0.022474943
C,-0.022937179
C,-0.026062846
C,-0.022937179
C,-0.022474943
N,-0.025646897
N,-0.02068587
C,-0.023529626
C,-0.02134264
C,-0.022409871
N,-0.009879579
C,-0.0085914135
O,0.031122468
N,-0.008463263
C,-0.023079298
C,-0.022290362
C,-0.021374252
C,-0.021804065
O,0.0015434539
C,-0.12016682
C,-0.07119529
N,0.0039249044
C,0.017021267
C,0.012469517
O,-0.105973095
C,0.012469517
C,0.017021267
C,-0.026015941
C,-0.026319383
C,-0.023023613
C,-0.023458773
C,-0.023458773
C,-0.023023592
C,-0.008507719
C,0.03176651
C,0.03176651
C,0.03176651
